memory_utilization,cpu_utilization,errors_per_minute,requests_per_minute,av_response_time
28.5,0.195,0,4.78,324
29.8,0.129,0,2.22,324
26.3,0.235,0,1.37,161
28.6,0.152,0,0.633,161
30.9,0.265,0,1.37,159
33.6,0.152,0,0.633,159
35.9,0.211,0,0.689,164
29.8,0.219,0,0.989,158
15.7,0.101,0,0.322,155
12.5,0.243,0,0.689,159
15.3,0.192,0,0.989,159
16.8,0.0852,0,0.322,159
19.2,0.276,0,3.44,1550
22.7,0.207,0,2.24,1130
24.6,0.0839,0,0.322,161
28.2,0.242,0,1.37,176
30.5,0.129,0,0.633,176
9.88,0.236,0,0.689,162
12.7,0.192,0,0.989,177
14.4,0.0881,0,0.322,184
17.4,0.266,0,1.37,201
20.1,0.148,0,0.633,201
22.1,0.316,0,3.44,398
26.3,0.293,0,5.63,325
30.1,0.314,0,7.4,348
34,0.203,0,3.22,326
25.1,0.401,0,9.2,357
18.9,0.4,0,11,357
19.9,0.195,0,3.82,319
21.7,0.0797,0,0.349,154
30.4,0.259,0,3.44,461
33.2,0.16,0,2.24,801
34.8,0.0907,0,2.37,718
36.3,0.12,0,1.63,405
37.4,0.0836,0,0.317,158
20.2,0.243,0,4.1,486
12.3,0.162,0,3.95,533
13.3,0.0757,0,0.95,576
14.7,0.108,0,0.683,204
15.7,0.0865,0,0.317,204
24.4,0.291,0,3.44,937
27.8,0.792,0.678,2.91,1970
16.6,0.473,1.01,4.06,682
11.7,0.124,0.317,1.58,215
17.6,0.272,0,2.75,479
21.2,0.227,0,5.99,1100
25.6,0.44,0,17.3,927
33.4,0.46,0,13.8,730
34.8,0.238,0,3.85,505
17.5,0.0929,0,0.317,159
11.7,0.276,0,4.13,961
15.1,0.209,0,2.55,753
16.7,0.0824,0,0.322,180
20.9,0.261,0,0.683,177
23.9,0.199,0,1,166
26,0.192,0,1,105
29.6,0.255,0,3.73,526
33,0.268,0.689,2.96,2460
36.7,0.284,0.311,4.04,1430
27.2,0.195,0.678,2.26,635
13.6,0.108,0.322,0.322,149
14.4,0.238,0,1.37,186
16.7,0.119,0,0.633,186
19.6,0.279,0,2.05,416
23.7,0.246,0,3,443
26,0.13,0.683,2.32,2270
27,0.0858,0.317,0.633,3530
33.9,0.283,0,2.75,177
37,0.295,0,5.31,306
21,0.31,0,7.4,331
13.9,0.299,0,6.63,334
18.2,0.762,0,3.27,329
14.1,0.499,0,6.1,331
19.6,0.258,0,5.27,331
23.3,0.175,0,1.95,267
24.6,0.0915,0,0.317,197
30,0.261,0,1.37,160
32.7,0.148,0,0.633,160
34.4,0.254,0,1.37,156
17.5,0.148,0,0.633,156
11.4,0.224,0,0.683,158
14.1,0.177,0,1,168
16.1,0.304,0,4.45,419
21.3,0.348,0,9.33,885
26.9,0.236,0,4.91,755
29.3,0.106,0,0.633,127
32.4,0.263,0,1.37,169
35.1,0.143,0,0.633,169
37.1,0.244,0,0.689,159
23.5,0.204,0,0.989,162
12.6,0.265,0,1.01,162
13,0.195,0,0.989,162
15.1,0.177,0,0.322,163
17.7,0.23,0,1.37,161
20.1,0.143,0,0.633,161
22.4,0.264,0,1.37,159
25.3,0.159,0,0.633,159
27.2,0.266,0,4.13,452
31.5,0.274,0,5.94,395
35.8,0.311,0,10.1,395
33.7,0.26,0,7.9,429
19.1,0.238,0,7.37,418
14.5,0.234,0,7.32,436
16.8,0.118,0,2.22,452
19.5,0.169,0,4.78,448
21.9,0.214,0,4.95,422
24.3,0.218,0,4,376
26.8,0.167,0,1.95,292
31.8,0.358,0,5.1,253
24.5,0.469,0,9.05,334
17.3,0.336,0,7.27,469
17,0.131,0,1.9,554
17.9,0.144,0,1.37,166
21.5,0.27,0,4.73,325
24.7,0.139,0,1.9,349
27,0.624,0,0.689,184
14.6,0.324,0,0.311,184
14.3,0.214,0,3.42,836
16,0.117,0,1.58,836
17.6,0.147,0,2.73,544
19.3,0.227,0,3.32,494
23.6,0.197,0,4.37,474
27.1,0.317,0,8.42,463
31.6,0.335,0,7.95,424
25.1,0.29,0,7,456
13.8,0.204,0,4.97,300
12.2,0.151,0,1.92,155
13.6,0.0881,0,0.322,159
28.7,0.193,0,4.13,729
31.4,0.291,0,11.4,857
34.3,0.144,0,4.51,882
35.6,0.104,0,3.42,742
36.6,0.107,0,2.95,1060
37.7,0.109,0,3.37,424
38.6,0.0783,0,1.27,192
14.1,0.365,0,6.15,2310
19.9,0.53,0,17.9,1030
26.5,0.49,0.683,19.3,874
33.8,0.469,0.317,18.7,811
37.7,0.193,0,6.02,763
37.5,0.169,0,2.05,540
20.3,0.222,0,3.68,366
14.1,0.12,0,1.27,305
17.5,0.307,0,2.75,358
24.6,0.538,0,7.35,179
31.1,0.275,0,3.58,159
33.4,0.0823,0,0.317,231
36.5,0.281,0,1.37,159
39.1,0.155,0,0.633,159
11,0.116,0.683,2.05,291
10.2,0.092,0.317,0.95,291
13.2,0.258,0,1.37,166
15.7,0.144,0,0.633,166
21.2,0.239,0,1.37,157
23.5,0.116,0,0.633,157
26,0.242,0,0.689,156
28.8,0.197,0,0.989,158
30.6,0.0894,0,0.322,159
35.8,0.28,0,0.689,157
38.7,0.207,0,0.989,160
20.6,0.0966,0,0.322,161
10.3,0.771,0,4.06,610
10.6,0.435,0,2.61,495
12.6,0.265,0,4.1,523
15,0.21,0,2.58,432
17.1,0.0848,0,0.317,180
20.4,0.268,0,4.13,548
22.7,0.2,0,2.55,446
24.8,0.0826,0,0.322,163
28.2,0.261,0,4.13,626
30.7,0.207,0,2.55,504
32.8,0.0822,0,0.322,168
36,0.263,0,4.13,579
34.9,0.218,0,2.55,469
17.5,0.0891,0,0.322,166
11.3,0.269,0,4.13,772
13.8,0.207,0,2.55,608
15.8,0.0881,0,0.322,157
18,0.258,0,4.13,741
20.4,0.203,0,2.55,585
22.4,0.0894,0,0.322,157
25.8,0.271,0,4.13,494
28.1,0.217,0,2.55,404
30.1,0.0921,0,0.322,158
33.4,0.266,0,4.13,557
35.7,0.163,0,1.87,557
37.3,0.0638,0.683,0.683,3.64
35.6,0.216,0.317,7.83,769
17.2,0.139,0,3.48,801
11.4,0.118,0,1.37,339
12.1,0.0847,0,0.633,339
17.1,0.341,0,5.51,768
13.4,0.983,0,9.95,622
15.6,0.603,0,8.33,418
19.7,0.15,0,2.22,302
22.1,0.112,0,1.37,160
24.8,0.263,0,4.73,155
28,0.14,0,1.9,155
30.6,0.122,0,1.37,160
33.1,0.206,0,3.37,158
35.5,0.184,0,2.63,162
38.7,0.148,0,2,133
26,0.264,0,4.73,945
17.9,0.235,0,3.27,680
17.7,0.102,0,0.633,134
21.3,0.245,0,1.37,163
23.7,0.139,0,0.633,163
25.9,0.234,0,0.683,157
28.7,0.185,0,1,160
29.9,0.0865,0,0.317,161
33.6,0.208,0,1.37,155
35.7,0.102,0,0.633,155
33.1,0.286,0,4.13,1500
16.8,0.209,0,2.55,1150
11.5,0.0826,0,0.322,156
13.1,0.262,0,4.13,469
15.6,0.154,0,1.87,469
17.7,0.108,0,0.683,161
18.7,0.0836,0,0.317,161
20.5,0.239,0,2.07,571
23.1,0.17,0,2.97,584
25.2,0.127,0,1.65,412
26.3,0.0834,0,0.317,161
27.6,0.208,0,0.683,160
31.1,0.244,0,4.42,494
33.5,0.206,0,1.9,519
36.4,0.21,0,4.1,665
38.6,0.16,0,2.58,537
39.8,0.082,0,0.317,182
12.9,0.429,0,11.6,917
18.1,0.253,0,8.12,740
21.4,0.192,0,6.05,443
23.8,0.219,0,7,486
26.1,0.171,0,3.58,484
30,0.218,0,7.47,435
33.7,0.315,0,11.4,413
